NY-5,D+73.45,0.79,,,
NY-6,D+32.27,1.01,,,
NY-7,D+74.63,0.82,,,
NY-8,D+71.45,0.74,,,
NY-9,D+67.6,0.8,,,
OH-1,R+8.11,1,,,
OH-10,R+7.17,0.96,,,
OH-11,D+62.22,0.97,,,
OH-12,R+12.72,0.97,,,
OH-13,D+11.82,1.03,,,
OH-14,R+10.45,0.93,,,
OH-15,R+13.83,0.94,,,
OH-16,R+15.57,1.1,,,
OH-2,R+16.1,1.08,,,
OH-3,D+37.36,0.99,,,
OH-4,R+28.85,1.11,,,
OH-5,R+21.73,1.02,,,
OH-6,R+34.39,1.07,,,
OH-7,R+24.72,1.09,,,
OH-8,R+33.32,1.1,,,
OH-9,D+25.29,1.01,,,
OK-1,R+27.7,0.91,,,
OK-2,R+43.31,0.92,,,
OK-3,R+49.12,1.01,,,
OK-4,R+34.37,0.98,,,
OK-5,R+13.09,0.9,,,
OR-1,D+17.13,0.98,,,
OR-2,R+22.65,1.15,,,
OR-3,D+44.23,0.95,,,
OR-4,R+1.57,0.94,,,
OR-5,D+0.07,1.01,,,
PA-1,R+0.86,1.02,,,
PA-10,R+10.87,1.01,,,
PA-11,R+27.45,1,,,
PA-12,R+35.26,1.01,,,
PA-13,R+44.74,0.96,,,
PA-14,R+27.98,1.08,,,
PA-15,R+40.6,1.06,,,
PA-16,R+17.67,0.97,,,
PA-17,R+5.96,1.01,,,
PA-18,D+25.02,0.98,,,
PA-2,D+47.76,0.88,,,
PA-3,D+81.09,0.72,,,
PA-4,D+14.57,0.98,,,
PA-5,D+25.29,1.01,,,
PA-6,D+4.54,1.04,,,
PA-7,D+0.34,0.97,,,
PA-8,R+5.16,1.05,,,
PA-9,R+30.75,1.1,,,
RI-1,D+33.03,1.17,,,
RI-2,D+16.57,1.13,,,
SC-1,R+18.04,0.97,,,
SC-2,R+21.64,1.08,,,
SC-3,R+38.79,0.96,,,
SC-4,R+29.07,1.01,,,
SC-5,R+19.44,0.9,,,
SC-6,D+35.34,0.94,,,
SC-7,R+19.24,0.92,,,
SD-1,R+28.19,1.01,,,
TN-1,R+57.23,0.95,,,
TN-2,R+39.22,0.91,,,
TN-3,R+36.34,1.01,,,
TN-4,R+41.69,1.04,,,
TN-5,D+13.24,0.88,,,
TN-6,R+49.32,0.98,,,
TN-7,R+40.62,1.06,,,
TN-8,R+38.28,1.01,,,
TN-9,D+54.09,1.06,,,
TX-1,R+51.44,1.03,,,
TX-10,R+18.54,0.95,,,
TX-11,R+64.32,1.03,,,
TX-12,R+37.44,1.04,,,
TX-13,R+67.83,1.01,,,
TX-14,R+25.48,1.1,,,
TX-15,D+10.71,1.06,,,
TX-16,D+31.4,1.07,,,
TX-17,R+24.91,0.97,,,
TX-18,D+49.95,1.05,,,
TX-19,R+54.31,1.02,,,
TX-2,R+21,0.95,,,
TX-20,D+18.5,1.11,,,
TX-21,R+19.67,0.89,,,
TX-22,R+19.44,0.93,,,
TX-23,R+4.34,1.11,,,
TX-24,R+17.31,0.86,,,
TX-25,R+22.99,0.94,,,
TX-26,R+35.58,1.03,,,
TX-27,R+28.83,1.11,,,
TX-28,D+14.69,1.09,,,
TX-29,D+35.83,1.15,,,
TX-3,R+25.18,0.98,,,
TX-30,D+55.11,1.07,,,
TX-31,R+21.26,1.06,,,
TX-32,R+9.63,1.02,,,
TX-33,D+42.21,1.17,,,
TX-34,D+16.12,1.11,,,
TX-35,D+26.2,1.13,,,
TX-36,R+52.5,1,,,
TX-4,R+57.54,0.98,,,
TX-5,R+34.59,0.91,,,
TX-6,R+19.6,0.96,,,
TX-7,R+11.89,1.11,,,
TX-8,R+56.39,1.04,,,
